external_gene_name,NIH_accession,NIH_description,GO terms
GSKIP,gskip,gsk3b interacting protein,
NPC2,LOC111572688,NPC intracellular cholesterol transporter 2,
THPO,,,
ISCA2,,,mitochondrion
zgc:153039,zgc:153039,uncharacterized LOC111567583,
adam17a,adam17a,ADAM metallopeptidase domain 17a,
ECEL1,LOC111582477,endothelin-converting enzyme-like 1,
dhrs13a.3,LOC111571814,dehydrogenase/reductase SDR family member 13-like,
or116-1,,,membrane
lpar6a,lpar6a,lysophosphatidic acid receptor 6a,
zgc:110333,LOC111563699,claudin-8-like,
KCNE4,kcne4,"potassium voltage-gated channel, Isk-related family, member 4",membrane
KCNE4,LOC111577124,"potassium voltage-gated channel, Isk-related family, member 4",membrane
KCNE4,,,
MAB21L1,mab21l1,mab-21-like 1,
RNF126,LOC111572323,E3 ubiquitin-protein ligase RNF126-like,
FAM181B,LOC111563630,protein FAM181B,
SUGP1,sugp1,SURP and G patch domain containing 1,
,LOC111577128,small nucleolar RNA SNORD66,
zgc:172339,LOC111571578,endonuclease domain-containing 1 protein-like,hydrolase activity
,LOC111580894,alpha-2-macroglobulin-like,extracellular region
ABLIM2,,,metal ion binding
dhrs13b.1,LOC111562701,tapasin-like,
C4orf54,c23h4orf54,chromosome 23 C4orf54 homolog,
RCOR2,rcor2,REST corepressor 2,nucleus
si:dkey-85k7.11,si:dkey-85k7.11,endonuclease domain-containing 1 protein,hydrolase activity
gigyf1a,gigyf1a,GRB10 interacting GYF protein 1a,
WRAP53,wrap53,"WD repeat containing, antisense to TP53",Cajal body
CLUL1,clul1,clusterin-like 1 (retinal),extracellular region
COLEC12,colec12,collectin sub-family member 12,
STAM,stam,signal transducing adaptor molecule (SH3 domain and ITAM motif) 1,
hsd20b2,hsd20b2,hydroxysteroid (20-beta) dehydrogenase 2,
PPAT,,,
AFAP1,afap1,actin filament associated protein 1,
si:ch211-13f8.2,colgalt2a,collagen beta(1-O)galactosyltransferase 2a,
SLC51A,LOC111573821,organic solute transporter subunit alpha-like,membrane
paics,paics,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",
RRM1,LOC111577631,ribonucleoside-diphosphate reductase large subunit-like,
efnb3b,efnb3b,ephrin-B3b,
NFIB,LOC111567537,nuclear factor 1 B-type,
map1ab,map1ab,microtubule-associated protein 1Ab,
ptprfa,ptprfa,protein tyrosine phosphatase receptor type Fa,
MITD1,mitd1,"MIT, microtubule interacting and transport, domain containing 1",
mrpl30,,,
RIPOR1,ripor1,RHO family interacting cell polarization regulator 1,
trpc2b,,,
gpr155a,gpr155a,G protein-coupled receptor 155a,
TSEN15,tsen15,TSEN15 tRNA splicing endonuclease subunit,
zgc:55943,zgc:55943,uncharacterized LOC111583448,
sec22ba,sec22ba,"SEC22 homolog B, vesicle trafficking protein a",
IMP3,imp3,IMP U3 small nucleolar ribonucleoprotein 3,
slc35a3b,slc35a3b,solute carrier family 35 member A3b,membrane
fam78ba,fam78ba,family with sequence similarity 78 member Ba,
cmpk,,,nucleus
bcl6ab,bcl6ab,BCL6A transcription repressor b,
NASP,LOC111587430,histone-binding protein N1/N2-like,nucleus
TNN,tnn,tenascin N,
PODXL,,,
STK11,stk11,serine/threonine kinase 11,metal ion binding
,LOC111572303,voltage-dependent calcium channel beta subunit-associated regulatory protein,membrane
,LOC111567884,uncharacterized LOC111567884,
AMMECR1,ammecr1,AMMECR nuclear protein 1,
COPB2,copb2,COPI coat complex subunit beta 2,
SNORD97,LOC111564167,small nucleolar RNA SNORD97,
U6,LOC111564075,U6 spliceosomal RNA,
,LOC111579026,small nucleolar RNA SNORA19,RNA processing
SNORA3A,LOC111576352,small nucleolar RNA SNORA3/SNORA45 family,RNA processing
LTN1,ltn1,listerin E3 ubiquitin protein ligase 1,
dre-mir-129-2,,,RISC complex
TNNI2,LOC111567524,"troponin I, fast skeletal muscle-like",
,LOC111573816,palmitoyltransferase ZDHHC20-B-like,membrane
SHOX,,,
PPP2R3B,ppp2r3b,"protein phosphatase 2, regulatory subunit B'', beta",
si:ch211-269e2.1,si:ch211-269e2.1,cohesin subunit SA-2,nucleus
SCRN3,scrn3,secernin 3,
CIR1,cir1,"corepressor interacting with RBPJ, CIR1",
PIGA,,,
grpr,LOC111568108,gastrin-releasing peptide receptor-like,
col28a2a,col28a2a,"collagen, type XXVIII, alpha 2a",serine-type endopeptidase inhibitor activity
Atp5b,LOC111579207,"ATP synthase subunit beta, mitochondrial-like",membrane
UBE2Q2,LOC111587620,ubiquitin-conjugating enzyme E2 Q2-like,
IAH1,iah1,isoamyl acetate hydrolyzing esterase 1 (putative),
RPAP1,rpap1,RNA polymerase II associated protein 1,
ugt5a1,LOC111587619,UDP-glucuronosyltransferase 2C1-like,
tmpob,tmpob,thymopoietin b,
tp53i11b,LOC111573649,tumor protein p53-inducible protein 11,
pcyt1bb,pcyt1bb,"phosphate cytidylyltransferase 1B, choline b",
SERGEF,sergef,secretion regulating guanine nucleotide exchange factor,
lipia,lipia,"lipase, member Ia",metal ion binding
stoml3b,stoml3b,stomatin (EPB72)-like 3b,membrane
appl2,tubgcp6,tubulin gamma complex component 6,
C14orf28,c20h14orf28,chromosome 20 C14orf28 homolog,
KLHL28,LOC111578089,kelch-like protein 28,
rtn2b,rtn2b,reticulon 2b,membrane
TOGARAM1,LOC111577954,TOG array regulator of axonemal microtubules protein 1,cytoplasm
RB1,rb1,retinoblastoma 1,regulation of transcription by RNA polymerase II
CCDC28B,ccdc28b,coiled-coil domain containing 28B,
UNC79,LOC111578958,protein unc-79 homolog,
SORCS2,sorcs2,sortilin-related VPS10 domain containing receptor 2,
serpinh2,serpinh2,"serine (or cysteine) peptidase inhibitor, clade H, member 2",
GRPEL1,grpel1,"GrpE-like 1, mitochondrial",
ZDHHC21,zdhhc21,zinc finger DHHC-type palmitoyltransferase 21,
TADA2B,tada2b,transcriptional adaptor 2B,
ccdc96,ccdc96,coiled-coil domain containing 96,
slc3a2a,,,membrane
NAA40,naa40,"N-alpha-acetyltransferase 40, NatD catalytic subunit",
PLAA,plaa,phospholipase A2-activating protein,
kcnc1b,kcnc1b,"potassium voltage-gated channel, Shaw-related subfamily, member 1b",
cd81b,LOC111584107,CD81 antigen-like,
M1AP,m1ap,meiosis 1 associated protein,spermatogenesis
appl2,appl2,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",membrane
B3GAT3,,,metal ion binding
dok1b,dok1b,docking protein 1b,
NAGK,nagk,N-acetylglucosamine kinase,
RUSC2,LOC111588687,uncharacterized LOC111588687,nucleus
PC,pcxb,pyruvate carboxylase b,
ltk,ltk,leukocyte receptor tyrosine kinase,
CYP8B1,LOC111568649,"5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase-like",
xcr1a.1,LOC111570412,chemokine XC receptor 1-like,
zgc:172182,zgc:172182,coiled-coil domain-containing protein 89,
TNFRSF1B,,,
,LOC118469711,uncharacterized LOC118469711,
RCBTB1,LOC111571617,RCC1 and BTB domain-containing protein 1-like,
5_8S_rRNA,,,structural constituent of ribosome
mir133a-1,,,RISC complex
mir1-2,,,RISC complex
zgc:92137,,,
DYNLT1,,,
ssx2ipa,ssx2ipa,"synovial sarcoma, X breakpoint 2 interacting protein a",determination of left/right symmetry
B4GALT2,b4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",
gpr184,LOC118471236,lysophosphatidic acid receptor 6-like,
CHRNE,chrne,"cholinergic receptor, nicotinic, epsilon",
EOGT,eogt,EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase,
tafa4b,tafa4b,TAFA chemokine like family member 4b,
TAFA1,LOC111588780,chemokine-like protein TAFA-1,
SUCLG2,suclg2,succinate-CoA ligase GDP-forming subunit beta,
nefma,nefma,neurofilament medium chain a,structural molecule activity
,LOC111571508,heat shock protein 30-like,
,LOC111571469,heat shock protein 30-like,
prnpb,LOC111570734,prion protein b,
tmem119b,,,membrane
efna2a,efna2a,ephrin-A2a,
RRH,rrh,retinal pigment epithelium-derived rhodopsin homolog,
palm1b,palm1b,paralemmin 1b,
,gabra2a,gamma-aminobutyric acid type A receptor subunit alpha2a,membrane
,LOC111565980,uncharacterized LOC111565980,
MIR199B,,,RISC complex
mir301b,,,
FUT7,,,membrane
aanat1,,,
PLGRKT,plgrkt,"plasminogen receptor, C-terminal lysine transmembrane protein",
FAHD2A,fahd2a,fumarylacetoacetate hydrolase domain containing 2A,
PTGS1,ptgs1,prostaglandin-endoperoxide synthase 1,
,prnpa,prion protein a (Kanno blood group),
gas1a,gas1a,growth arrest-specific 1a,
,LOC129350771,uncharacterized LOC129350771,
POLB,polb,"polymerase (DNA directed), beta",
bhmt,LOC111564722,betaine--homocysteine S-methyltransferase 1,
NHLH2,LOC111578898,helix-loop-helix protein 2-like,
tmtops2b,tmtops2b,teleost multiple tissue opsin 2b,
zgc:162944,zgc:162944,uncharacterized LOC111576076,
ACOD1,,,lyase activity
kctd12.1,kctd12.1,potassium channel tetramerisation domain containing 12.1,
SP9,sp9,sp9 transcription factor,embryonic limb morphogenesis
OLA1,LOC111574594,obg-like ATPase 1,nucleus
,LOC111576454,uncharacterized LOC111576454,
TBC1D4,tbc1d4,"TBC1 domain family, member 4",
dvl3a,LOC111576801,segment polarity protein dishevelled homolog DVL-3-like,Wnt signaling pathway
IPP,ipp,intracisternal A particle-promoted polypeptide,
UGT2A1,ugt2b3,"UDP glucuronosyltransferase 2 family, polypeptide B3",transferase activity
GZMA,LOC111580749,granzyme A-like,extracellular region
MIDN,,,nucleus
TNR,tnr,"tenascin R (restrictin, janusin)",
adprhl2,adprs,ADP-ribosylserine hydrolase,
,si:ch211-266o15.1,zinc finger MYM-type protein 4,
plppr3a,plppr3a,phospholipid phosphatase related 3a,
GABRG1,gabrg1,gamma-aminobutyric acid type A receptor subunit gamma1,
TMEM135,tmem135,transmembrane protein 135,
gphna,,,
KCNAB3,LOC111587186,voltage-gated potassium channel subunit beta-2-like,
ITPKA,itpka,inositol-trisphosphate 3-kinase A,
PPP1CB,LOC111573267,serine/threonine-protein phosphatase PP1-beta catalytic subunit-like,hydrolase activity
PALS1,,,
hephl1b,hephl1b,hephaestin-like 1b,
AQP11,aqp11,aquaporin 11,
GIPR,,,membrane
gdpd4a,gdpd4a,glycerophosphodiester phosphodiesterase domain containing 4a,membrane
zgc:152863,zgc:152863,uncharacterized LOC111586976,
PIP5KL1,LOC111564929,phosphatidylinositol 4-phosphate 5-kinase-like protein 1,nucleotide binding
CLNS1A,,,
MAP3K7,LOC111586302,mitogen-activated protein kinase kinase kinase 7-like,
NARS2,nars2,"asparaginyl-tRNA synthetase 2, mitochondrial",
SSBP4,zgc:110158,uncharacterized LOC111582897,DNA binding
GAB2,gab2,GRB2-associated binding protein 2,
tmem185,,,membrane
GALNT17,galnt17,polypeptide N-acetylgalactosaminyltransferase 17,
CNTN5,,,
NEFL,neflb,neurofilament light chain b,
CABIN1,cabin1,calcineurin binding protein 1,nucleus
,LOC118471327,protein ELYS-like,
GABRR1,LOC111577950,gamma-aminobutyric acid receptor subunit rho-1,membrane
tbx16,tbx16,T-box transcription factor 16,
KLHL22,klhl22,kelch-like family member 22,cytoplasm
npy8br,npy8br,neuropeptide Y receptor Y8b,
,LOC111571064,progonadoliberin-1,extracellular region
kctd9a,kctd9a,potassium channel tetramerization domain containing 9a,
SEC23IP,sec23ip,SEC23 interacting protein,
fam20cl,LOC111581327,extracellular serine/threonine protein kinase FAM20C-like,
ANKRD39,ankrd39,ankyrin repeat domain 39,
fgfr1a,fgfr1a,fibroblast growth factor receptor 1a,membrane
snai1a,snai1a,snail family zinc finger 1a,epithelial to mesenchymal transition
prkcdb,LOC111588773,protein kinase C delta type-like,metal ion binding
cipca,cipca,CLOCK-interacting pacemaker a,
ZDHHC22,,,membrane
TMEM63C,tmem63c,transmembrane protein 63C,
FANCE,fance,FA complementation group E,interstrand cross-link repair
FAM3A,fam3a,FAM3 metabolism regulating signaling molecule A,
erbb3b,erbb3b,erb-b2 receptor tyrosine kinase 3b,membrane
SOS2,sos2,son of sevenless homolog 2 (Drosophila),
AMFR,amfra,autocrine motility factor receptor a,
si:dkey-148a17.6,si:dkey-148a17.6,uncharacterized LOC111570140,membrane
si:dkey-148a17.5,LOC111570144,leukotriene B4 receptor 1-like,
gnao1b,LOC111571167,guanine nucleotide-binding protein G(o) subunit alpha-like,nucleotide binding
COG4,cog4,component of oligomeric golgi complex 4,
,ctsba,cathepsin Ba,
CEL,,,hydrolase activity
daam1b,LOC111585381,disheveled-associated activator of morphogenesis 1-like,actin binding
TONSL,tonsl,"tonsoku-like, DNA repair protein",
si:ch211-160f23.7,LOC111585948,uncharacterized LOC111585948,
insm1b,insm1b,insulinoma-associated 1b,
sox11a,sox11a,SRY-box transcription factor 11a,
ANKRD63,LOC111578082,uncharacterized LOC111578082,
INAFM2,LOC111578043,uncharacterized LOC111578043,
adssl,adssl,"adenylosuccinate synthase, like",metal ion binding
,LOC129349249,uncharacterized LOC129349249,
,LOC129349070,uncharacterized LOC129349070,
,LOC129349046,uncharacterized LOC129349046,
,LOC118470790,uncharacterized LOC118470790,
,LOC129347702,uncharacterized LOC129347702,
,LOC129350725,uncharacterized LOC129350725,
,LOC129347782,uncharacterized LOC129347782,
,LOC129350906,uncharacterized LOC129350906,
,LOC129350779,uncharacterized LOC129350779,
,LOC129350740,uncharacterized LOC129350740,
,LOC129350065,uncharacterized LOC129350065,
,LOC129350052,uncharacterized LOC129350052,
,LOC129349740,uncharacterized LOC129349740,
,LOC129349063,uncharacterized LOC129349063,
,LOC129348880,uncharacterized LOC129348880,
,LOC129348669,uncharacterized LOC129348669,
,LOC129348667,uncharacterized LOC129348667,
,LOC129347957,uncharacterized LOC129347957,
,LOC129347846,uncharacterized LOC129347846,
,LOC129347478,uncharacterized LOC129347478,
SNORD34,LOC111582965,small nucleolar RNA SNORD34,
SNORD33,LOC111582964,small nucleolar RNA Z195/SNORD33/SNORD32 family,RNA processing
,LOC111582968,small nucleolar RNA SNORD50,
,LOC111582966,small nucleolar RNA SNORD50,RNA processing
SNORD33,LOC111582963,small nucleolar RNA Z195/SNORD33/SNORD32 family,RNA processing
dre-mir-124-4,,,RISC complex
meis2a,meis2a,Meis homeobox 2a,
,LOC111571169,uncharacterized LOC111571169,metal ion binding
btbd10b,btbd10b,BTB (POZ) domain containing 10b,
rnaset2,rnaset2,ribonuclease T2,
MYOM2,myom2b,myomesin 2b,
pth2ra,,,membrane
lrfn4b,LOC111578546,leucine-rich repeat and fibronectin type-III domain-containing protein 4,membrane
ufsp1,ufsp1,UFM1-specific peptidase 1 (non-functional),
PAPSS1,papss1,3'-phosphoadenosine 5'-phosphosulfate synthase 1,
ugt5g1,ugt5g1,"UDP glucuronosyltransferase 5 family, polypeptide G1",
EPB41L5,epb41l5,erythrocyte membrane protein band 4.1 like 5,
PAQR9,paqr9,progestin and adipoQ receptor family member 9,
ptpn4a,ptpn4a,protein tyrosine phosphatase non-receptor type 4a,
FEV,fev,"FEV transcription factor, ETS family member",
cryba2b,cryba2b,"crystallin, beta A2b",structural constituent of eye lens
umps,umps,uridine monophosphate synthetase,metabolic process
,LOC129348092,uncharacterized LOC129348092,
SCARNA8,LOC111589172,small Cajal body-specific RNA 8,RNA processing
SCARNA8,LOC111585590,small Cajal body-specific RNA 8,RNA processing
SCARNA8,LOC111567547,small Cajal body-specific RNA 8,RNA processing
U1,LOC111588594,U1 spliceosomal RNA,pre-mRNA 5'-splice site binding
SNORD22,LOC111577139,small nucleolar RNA SNORD22,
SNORD30,LOC111577141,small nucleolar RNA SNORD30,RNA processing
SNORD31,LOC111577142,small nucleolar RNA SNORD31,
SNORD29,LOC111577140,small nucleolar RNA SNORD29,
SNORD31,LOC111577143,small nucleolar RNA SNORD31,
RNU6ATAC7P,LOC111573599,U6atac minor spliceosomal RNA,
nectin4a,,,membrane
,LOC111582714,uncharacterized LOC111582714,
thsd7ba,thsd7ba,"thrombospondin, type I, domain containing 7Ba",
kcnf1b,kcnf1b,"potassium voltage-gated channel, subfamily F, member 1b",membrane
5_8S_rRNA,LOC111582485,5.8S ribosomal RNA,
U4,LOC111586310,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586328,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586321,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586311,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586307,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586306,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111565020,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586320,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586309,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC129347825,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586313,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586327,U4 spliceosomal RNA,
U4,LOC129347827,U4 spliceosomal RNA,
U4,LOC111586308,U4 spliceosomal RNA,
U4,LOC111586326,U4 spliceosomal RNA,
U4,LOC111586318,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586317,U4 spliceosomal RNA,U6 snRNA binding
U4,LOC111586305,U4 spliceosomal RNA,
U4,LOC129347826,U4 spliceosomal RNA,
U4,,,U6 snRNA binding
prorp,prorp,protein only RNase P catalytic subunit,metal ion binding
IGDCC4,igdcc4,"immunoglobulin superfamily, DCC subclass, member 4",
scamp5b,LOC111571660,secretory carrier-associated membrane protein 5-like,membrane
si:ch211-113e8.10,zfp91,"ZFP91 zinc finger protein, atypical E3 ubiquitin ligase",
CRISPLD2,crispld2,cysteine-rich secretory protein LCCL domain containing 2,extracellular region
UBE2O,ube2o,ubiquitin-conjugating enzyme E2O,
DRD5,,,membrane
USP10,usp10,ubiquitin specific peptidase 10,
SLIT2,slit2,slit homolog 2 (Drosophila),
GUCY2C,,,
GALNT13,galnt13,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13,
,LOC118470026,uncharacterized LOC118470026,
rprma,,,membrane
arsh,arsh,arylsulfatase H,membrane
gzm3.4,,,extracellular region
RABL3,rabl3,"RAB, member of RAS oncogene family-like 3",
GTF2E1,gtf2e1,"general transcription factor IIE, polypeptide 1, alpha",transcription initiation at RNA polymerase II promoter
TPT1,tpt1,"tumor protein, translationally-controlled 1",
gtf2f2b,LOC111564554,general transcription factor IIF subunit 2-like,
POGLUT2,poglut2,protein O-glucosyltransferase 2,
TMEM177,tmem177,transmembrane protein 177,membrane
pkd1l2a,,,
CANX,si:ch211-39i22.1,microtubule-actin cross-linking factor 1,
fn1a,LOC111578352,fibronectin-like,extracellular region
rab3db,,,
TMEM205,tmem205,transmembrane protein 205,
mmd2a,mmd2a,monocyte to macrophage differentiation-associated 2a,
AP5Z1,ap5z1,adaptor related protein complex 5 subunit zeta 1,
CSGALNACT2,csgalnact2,chondroitin sulfate N-acetylgalactosaminyltransferase 2,
RET,ret,ret proto-oncogene receptor tyrosine kinase,
ANKRD54,ankrd54,ankyrin repeat domain 54,membrane
FOXRED2,foxred2,FAD-dependent oxidoreductase domain containing 2,
RNF216,rnf216,ring finger protein 216,
slc43a2b,slc43a2b,solute carrier family 43 member 2b,
pitpnab,pitpnab,"phosphatidylinositol transfer protein, alpha b",lipid binding
ACACA,,,
chpfa,chpfa,chondroitin polymerizing factor a,
STXBP5L,stxbp5l,syntaxin binding protein 5L,
nptxra,,,
baiap2l2a,baiap2l2a,BAR/IMD domain containing adaptor protein 2 like 2a,plasma membrane organization
si:dkeyp-72e1.9,si:dkeyp-72e1.9,syntaxin-binding protein 4,
PPL,ppl,periplakin,
STAT2,stat2,signal transducer and activator of transcription 2,
,LOC111567226,olfactory receptor 6N2-like,membrane
,LOC111567233,olfactory receptor 142-like,
UBE2J2,ube2j2,"ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)",membrane
TMEM223,tmem223,transmembrane protein 223,
,LOC129349978,olfactory receptor 49-like,
,LOC111584974,olfactory receptor 49-like,
,LOC111584973,olfactory receptor 49-like,
,LOC111584972,olfactory receptor 49-like,
ptger2b,,,membrane
KCTD4,kctd4,potassium channel tetramerization domain containing 4,
,LOC111579774,"nuclear factor 7, brain-like",
acap3b,LOC111587883,"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3-like",
,LOC129349987,uncharacterized LOC129349987,
,LOC111566806,"rano class II histocompatibility antigen, A beta chain-like",
,LOC111566843,"H-2 class II histocompatibility antigen, A-K alpha chain-like",
,pck1,phosphoenolpyruvate carboxykinase 1 (soluble),
dre-mir-375-2,,,RISC complex
TUBA1B,tuba8l3,"tubulin, alpha 8 like 3",glial cell development
tmem198b,LOC111572134,transmembrane protein 198-like,
atp6ap1lb,atp6ap1lb,ATPase H+ transporting accessory protein 1 like b,
ETV7,etv7,ETS variant transcription factor 7,regulation of transcription by RNA polymerase II
zgc:194242,zgc:194242,uncharacterized LOC111573881,
RHOC,LOC111580690,rho-related GTP-binding protein RhoA-D-like,
PABPC1L,LOC111588341,embryonic polyadenylate-binding protein-like,
si:ch211-286o17.1,cd34,CD34 molecule,membrane
PLXNA2,plxna2,plexin A2,
